id,title,overview,tagline,genres,keywords,director,writers,cast
767377,Dhamaka,"When a cynical ex-TV news anchor gets an alarming call on his radio show, he sees a chance for a career comeback — but it may cost his conscience.","To win something, will you lose everything?","['Thriller', 'Drama', 'Crime']",['remake'],Ram Madhvani,"['Puneet Sharma', 'Ram Madhvani']","['Kartik Aaryan', 'Amruta Subhash', 'Mrunal Thakur', 'Soham Majumdar', 'Vikas Kumar', 'Vishwajeet Pradhan', 'Anuj Gurwara', 'Priya Tandon', 'Aeklavya Tomer', 'Prabhat Singh Bhadauriya']"
586353,The Master and Margarita,"A writer in 1930s Moscow has his work banned and is expelled from the official union, leaving him without income. He then writes a novel about a mysterious dark visitor and gradually starts confusing his real life with the story.",,"['Fantasy', 'Drama']","['soviet union', 'writer', 'censorship', 'moscow, russia', '1930s']",Michael Lockshin,['Roman Kantor'],"['August Diehl', 'Yuliya Snigir', 'Evgeny Tsyganov', 'Claes Bang', 'Yuri Kolokolnikov', 'Aleksey Guskov', 'Aleksey Rozin', 'Aleksandr Yatsenko', 'Yevgeni Knyazev', 'Danil Steklov']"
514921,The Aeronauts,"In 1862, daredevil balloon pilot Amelia Wren teams up with pioneering meteorologist James Glaisher to advance human knowledge of the weather and fly higher than anyone in history. While breaking records and advancing scientific discovery, their voyage to the very edge of existence helps the unlikely pair find their place in the world they have left far below them. But they face physical and emotional challenges in the thin air, as the ascent becomes a fight for survival.",Soar beyond your limits.,"['Adventure', 'Drama', 'Romance']","['cloud', 'hot air balloon', 'biography', 'based on true story', 'aeronautics', '19th century']",Tom Harper,"['Jack Thorne', 'Tom Harper']","['Eddie Redmayne', 'Felicity Jones', 'Tom Courtenay', 'Phoebe Fox', 'Himesh Patel', 'Rebecca Front', 'Robert Glenister', 'Vincent Perez', 'Anne Reid', 'Lewin Lloyd']"
38285,The Country Boy,A man is forced to completely change his habits when he decides to move from the country to the city.,,['Comedy'],[],Castellano,"['Pipolo', 'Castellano']","['Renato Pozzetto', 'Massimo Boldi', 'Donna Osterbuhr', 'Clara Colosimo', 'Sandra Ambrosini', ""Renato D'Amore"", 'Franco Diogene', 'Enzo Cannavale', 'Vincenzo De Toma', 'Enzo Garinei']"
22797,The Butcher Boy,"Francie and Joe live the usual playful, fantasy filled childhoods of normal boys. However, with a violent, alcoholic father and a manic depressive, suicidal mother the pressure on Francie to grow up are immense. When Francie's world turns to madness, he tries to counter it with further insanity, with dire consequences.",This little piggy laughed all the way home!,"['Comedy', 'Drama']","['friendship', 'suicide', 'based on novel or book', 'pig', 'boarding school', 'angel', 'difficult childhood', 'dark comedy', 'insane asylum', 'alcoholism', 'murder', 'ireland', 'irish']",Neil Jordan,"['Pat McCabe', 'Neil Jordan']","['Eamonn Owens', 'Alan Boyle', 'Fiona Shaw', 'Stephen Rea', 'Ian Hart', 'Peter Gowen', 'Sean McGinley', ""Aisling O'Sullivan"", 'John Kavanagh', 'Andrew Fullerton']"
19877,Fist of the North Star,"After a nuclear holocaust tears the world apart, mankind is forced to the harshness of not only the oppression of others who are much more powerful, but the dead earth which seems to be getting worse with every passing moment. But a savior has risen from the ashes, a man who will defeat those who would torment the weak and make the world a livable place once more. A man named Kenshiro...",An epic assault on the senses!,"['Animation', 'Action', 'Science Fiction']","['martial arts', 'killing', 'fighter', 'post-apocalyptic future', 'nuclear holocaust', 'shounen', 'anime']",Toyoo Ashida,['Susumu Takaku'],"['Akira Kamiya', 'Yuriko Yamamoto', 'Kenji Utsumi', 'Chikao Ohtsuka', 'Toshio Furukawa', 'Kaneto Shiozawa', 'Tomiko Suzuki', 'Teiyu Ichiryusai', 'Arisa Andô', 'Junji Chiba']"
9481,The Bone Collector,"Lincoln Rhyme was the department's top homicide detective and leading expert in criminal forensics until an injury left him paralyzed, depressed, and incapable of working. But when a gruesome murder in Manhattan leaves detectives baffled, they call on Rhyme to help solve the mystery. Amelia Donaghy, a rookie cop whose quick thinking preserved a gruesome murder scene, is enlisted by Rhyme to be his on-the-scene forensics expert. With Amelia reluctantly acting as Rhyme's able-bodied go-between, the pair piece together cryptic clues the killer leaves behind at the scene of the crime, hoping to catch the grisly serial killer.","Right now, this serial killer could be looking at his next victim.","['Crime', 'Thriller', 'Drama', 'Mystery']","['new york city', 'taxi', 'based on novel or book', 'psychopath', 'taxi driver', 'bone', 'partnership', 'serial killer', 'author', 'crime scene', 'rookie cop', 'nypd', 'homicide detective', 'quadriplegic', 'gruesome', 'home care nurse', 'decipher', 'homicide investigation', 'sadistic killer', 'cryptic', 'furious', 'ambiguous', 'antagonistic', 'conceited', 'ghoulish', 'former detective', 'forensic expert', 'crime scene investigation']",Phillip Noyce,['Jeremy Iacone'],"['Denzel Washington', 'Angelina Jolie', 'Queen Latifah', 'Michael Rooker', 'Michael McGlone', 'Luis Guzmán', 'Leland Orser', 'John Benjamin Hickey', 'Bobby Cannavale', ""Ed O'Neill""]"
2616,Uncle Buck,"Buck Russell, a lovable but slovenly bachelor, suddenly becomes the temporary caretaker of his nephew and nieces after a family emergency. His freewheeling attitude soon causes tension with his older niece Tia, loyal girlfriend Chanice, and just about everyone else who crosses his path.",He's crude. He's crass. He's family.,"['Comedy', 'Drama', 'Family']","['babysitter', 'uncle', 'nostalgic', 'backfire', 'attitude', 'tire', 'streetwise', 'drag net', 'crazy uncle', 'aftercreditsstinger', 'child care', 'lighthearted', 'enthusiastic', 'melodramatic']",John Hughes,['John Hughes'],"['John Candy', 'Jean Louisa Kelly', 'Gaby Hoffmann', 'Macaulay Culkin', 'Amy Madigan', 'Elaine Bromka', 'Garrett M. Brown', 'Laurie Metcalf', 'Jay Underwood', 'Brian Tarantina']"
1400782,The Perfect Neighbor,"Police bodycam footage reveals how a long-running neighborhood dispute turned fatal in this documentary about fear, prejudice and Stand Your Ground laws.",,"['Crime', 'Documentary']","['florida', 'homicide', 'racist', 'murder', 'true crime', 'yelling', 'neighborhood', 'woman director', 'annoying', 'neighbor feud', 'escalation', 'complaint', 'nuisance', 'news footage', 'dispute', 'stand your ground law', 'tense', ""sheriff's deputy""]",Geeta Gandbhir,[],"['Susan Lorincz', 'Ajike Owens', 'Pamela Dias']"
512418,Mr. Know-It-All,A football coach afraid of commitment has to take care of his nephew with Asperger's Syndrome.,,"['Comedy', 'Drama']","['autism', ""asperger's syndrome""]",François Prévôt-Leygonie,"['Stéphan Archinard', 'Alain Gillot', 'François Prévôt-Leygonie']","['Arnaud Ducret', 'Alice David', 'Max Baissette de Malglaive', 'Jean-François Cayrey', 'Caroline Silhol', 'Féodor Atkine', 'Christophe Bourseiller', 'Marina Tomé', 'Sayyid El Alami', 'Bruni Makaya']"
382127,Manifesto,"An edited version of Rosefeldt's installation work of the same name, Manifesto is an outstanding tribute to various (art) manifestos of the nineteenth and twentieth century, ranging from Communism to Dogme, in connection with thirteen different characters, including a homeless man, a factory worker and a corporate CEO, who are all played by Cate Blanchett. A striking humorous audio-visual experience.",ALL CURRENT ART IS FAKE,['Drama'],['art'],Julian Rosefeldt,['Julian Rosefeldt'],"['Cate Blanchett', 'Erika Bauer', 'Carl Dietrich Carls', 'Marie Borkowski Foedrowitz', 'Ea-Ja Kim', 'Marina Michael', 'Hannelore Ohlendorf', 'Ottokar Sachse', 'Ralf Tempel', 'Jimmy Trash']"
122583,Detective Conan: The Eleventh Striker,"Kogoro's detective agency receives a mysterious phone call. Someone on the other end warns about a bomb and leaves behind a code, which if Conan can decipher the riddle, he can stop the bomb. An adventure begins for Conan and the Detective Boys, taking place at a soccer match between Hideo Akagi of the Tokyo Spirits and Ryusuke Higo of Big Osaka.",,"['Animation', 'Mystery', 'Action']","['football (soccer)', 'anime', 'suspense']",Yasuichiro Yamamoto,['Kazunari Kouchi'],"['Minami Takayama', 'Kappei Yamaguchi', 'Wakana Yamazaki', 'Rikiya Koyama', 'Megumi Hayashibara', 'Yukiko Iwai', 'Wataru Takagi', 'Ikue Otani', 'Kenichi Ogata', 'Naoko Matsui']"
42700,The Night of the Generals,"A German intelligence officer investigates a prostitute's killing in Warsaw during World War II. He lands on three major Nazi generals as suspects, two of whom are also involved in a plot to kill Adolf Hitler.",Patriotism has been known to have its vicious side.,"['Thriller', 'Mystery', 'War', 'Crime']","['paris, france', 'general', 'world war ii', 'flashback', 'sociopath', 'murder', 'conspiracy', 'serial killer', 'german occupation of france', 'army general', 'murder investigation', 'rommel', 'nazi occupation', '1940s', '1960s', 'cold case', 'warsaw, poland', 'murder of a prostitute', 'german occupation of poland']",Anatole Litvak,"['Joseph Kessel', 'Gore Vidal', 'Paul Dehn']","[""Peter O'Toole"", 'Omar Sharif', 'Tom Courtenay', 'Donald Pleasence', 'Joanna Pettet', 'Philippe Noiret', 'Charles Gray', 'Coral Browne', 'John Gregson', 'Nigel Stock']"
21935,The Haunting Hour: Don't Think About It,"Cassie, a 13 year old Gothic girl, is trying to fit in at her new school. To entertain herself, she plays a series of pranks on the popular kids and her younger brother, Max. When she goes to a Halloween store looking for new tricks, she finds a little book called ""The Evil Thing""",,"['Horror', 'TV Movie', 'Fantasy']","['high school', 'based on novel or book']",Alex Zamm,"['Dan Angel', 'Billy Brown']","['Emily Osment', 'Brittany Curran', 'Alex Winzenread', 'Michelle Duffy', 'John Hawkinson', 'Cody Linley', 'Tobin Bell', 'John P. Hopkins', 'Michael Dickson', 'Colleen Dengel']"
11381,Tommy Boy,"To save the family business, two ne’er-do-well traveling salesmen hit the road with disastrously funny consequences.","If at first you don't succeed, lower your standards.",['Comedy'],"['road trip', 'buddy']",Peter Segal,"['Bonnie Turner', 'Terry Turner']","['Chris Farley', 'David Spade', 'Brian Dennehy', 'Julie Warner', 'Bo Derek', 'Rob Lowe', 'Dan Aykroyd', 'Sean McCann', 'Zach Grenier', 'James Blendick']"
5038,Vicky Cristina Barcelona,"Two girlfriends on a summer holiday in Spain become enamored with the same painter, unaware that his ex-wife, with whom he has a tempestuous relationship, is about to re-enter the picture.",Life is the ultimate work of art.,"['Drama', 'Romance']","['barcelona, spain', 'photographer', 'artist', 'menage a trois', 'painter', 'author', 'summer', 'polyamory', 'bohemian', 'wonder', 'romantic']",Woody Allen,['Woody Allen'],"['Scarlett Johansson', 'Rebecca Hall', 'Javier Bardem', 'Penélope Cruz', 'Christopher Evan Welch', 'Chris Messina', 'Patricia Clarkson', 'Kevin Dunn', 'Julio Perillán', 'Ricard Salom']"
3509,A Scanner Darkly,An undercover cop in a not-too-distant future becomes involved with a dangerous new drug and begins to lose his own identity as a result.,Everything is not going to be OK.,"['Animation', 'Science Fiction', 'Thriller']","['future', 'california', 'dreams', 'schizophrenia', 'based on novel or book', 'undercover', 'detective', 'dystopia', 'cocaine', 'exam', 'assignment', 'cyberpunk', 'drugs', 'surveillance', 'totalitarian', 'corporation', 'speculative', 'substance', 'condition', 'neo-noir', 'dubious']",Richard Linklater,['Richard Linklater'],"['Keanu Reeves', 'Robert Downey Jr.', 'Woody Harrelson', 'Winona Ryder', 'Rory Cochrane', 'Mitch Baker', 'Sean Allen', 'Cliff Haby', 'Steven Chester Prince', 'Natasha Valdez']"
1410082,Sniper: The Last Stand,"To stop an arms dealer from unleashing a deadly superweapon, Ace sniper Brandon Beckett and Agent Zero are deployed to Costa Verde to lead a group of elite soldiers against an unrelenting militia. Taking an untested sniper under his wing, Beckett faces his newest challenge: giving orders instead of receiving them. With both time and ammo running low in a race to save humanity, the team must overcome all odds just to survive.",,"['Action', 'Thriller']","['sniper', 'sequel']",Danishka Esterhazy,['Sean Wathen'],"['Chad Michael Collins', 'Ryan Robbins', 'Sharon Taylor', 'Manuel Rodriguez-Saenz', 'Vusi Kunene', 'Sizo Mahlangu', 'Noxolo Dlamini', 'Arnold Vosloo', 'Rob van Vuuren', 'Scott George']"
